# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 20000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 105.82099914550781
# Time, aSrc_total_MB@perinuclear_region", aSrc_total_MB@cyto", aSrc_total_MB@cell_membrane"
0.0,750.0,750.0,750.0
202.02020202020202,760.1,750.0,750.0
404.04040404040404,734.0,750.0,750.0
606.060606060606,729.1,750.0,750.0
808.0808080808081,732.8000000000001,750.0,750.0
1010.1010101010102,723.3000000000001,750.0,750.0
1212.121212121212,773.3000000000001,750.0,750.0
1414.141414141414,768.8000000000001,750.0,750.0
1616.1616161616162,776.1,750.0,750.0
1818.1818181818182,783.1,750.0,750.0
2020.2020202020203,739.2,750.0,750.0
2222.222222222222,773.4000000000001,760.1,750.0
2424.242424242424,740.2,734.0,750.0
2626.2626262626263,743.0,729.1,750.0
2828.282828282828,749.3000000000001,732.8000000000001,750.0
3030.3030303030305,742.7,723.3000000000001,750.0
3232.3232323232323,777.0,773.3000000000001,750.0
3434.343434343434,740.2,768.8000000000001,750.0
3636.3636363636365,3664.9,776.1,750.0
3838.3838383838383,70554.40000000001,783.1,750.0
4040.4040404040406,101988.70000000001,739.2,750.0
4242.424242424242,116374.6,773.4000000000001,760.1
4444.444444444444,116918.8,740.2,734.0
4646.464646464647,118047.70000000001,743.0,729.1
4848.484848484848,119181.0,749.3000000000001,732.8000000000001
5050.50505050505,61371.600000000006,742.7,723.3000000000001
5252.525252525253,23616.300000000003,777.0,773.3000000000001
5454.545454545455,8513.800000000001,740.2,768.8000000000001
5656.565656565656,2948.0,3664.9,776.1
5858.585858585859,1826.3000000000002,70554.40000000001,783.1
6060.606060606061,1024.4,101988.70000000001,739.2
6262.626262626262,750.0,116374.6,773.4000000000001
6464.646464646465,750.0,116918.8,740.2
6666.666666666667,750.0,118047.70000000001,743.0
6868.686868686868,750.0,119181.0,749.3000000000001
7070.707070707071,750.0,61371.600000000006,742.7
7272.727272727273,750.0,23616.300000000003,777.0
7474.747474747474,750.0,8513.800000000001,740.2
7676.767676767677,750.0,2948.0,3664.9
7878.787878787879,750.0,1826.3000000000002,70554.40000000001
8080.808080808081,750.0,1024.4,101988.70000000001
8282.828282828283,750.0,750.0,116374.6
8484.848484848484,750.0,750.0,116918.8
8686.868686868687,750.0,750.0,118047.70000000001
8888.888888888889,750.0,750.0,119181.0
9090.90909090909,750.0,750.0,61371.600000000006
9292.929292929293,750.0,750.0,23616.300000000003
9494.949494949495,750.0,750.0,8513.800000000001
9696.969696969696,750.0,750.0,2948.0
9898.9898989899,750.0,750.0,1826.3000000000002
10101.0101010101,750.0,750.0,1024.4
10303.030303030304,750.0,750.0,750.0
10505.050505050505,750.0,750.0,750.0
10707.070707070707,750.0,750.0,750.0
10909.09090909091,750.0,750.0,750.0
11111.111111111111,750.0,750.0,750.0
11313.131313131313,750.0,750.0,750.0
11515.151515151516,750.0,750.0,750.0
11717.171717171717,750.0,750.0,750.0
11919.191919191919,750.0,750.0,750.0
12121.212121212122,750.0,750.0,750.0
12323.232323232323,750.0,750.0,750.0
12525.252525252525,750.0,750.0,750.0
12727.272727272728,750.0,750.0,750.0
12929.29292929293,750.0,750.0,750.0
13131.31313131313,750.0,750.0,750.0
13333.333333333334,750.0,750.0,750.0
13535.353535353535,750.0,750.0,750.0
13737.373737373737,750.0,750.0,750.0
13939.39393939394,750.0,750.0,750.0
14141.414141414141,750.0,750.0,750.0
14343.434343434343,750.0,750.0,750.0
14545.454545454546,750.0,750.0,750.0
14747.474747474747,750.0,750.0,750.0
14949.494949494949,750.0,750.0,750.0
15151.515151515152,750.0,750.0,750.0
15353.535353535353,750.0,750.0,750.0
15555.555555555555,750.0,750.0,750.0
15757.575757575758,750.0,750.0,750.0
15959.59595959596,750.0,750.0,750.0
16161.616161616163,750.0,750.0,750.0
16363.636363636364,750.0,750.0,750.0
16565.656565656565,750.0,750.0,750.0
16767.676767676767,750.0,750.0,750.0
16969.696969696968,750.0,750.0,750.0
17171.717171717173,750.0,750.0,750.0
17373.737373737375,750.0,750.0,750.0
17575.757575757576,750.0,750.0,750.0
17777.777777777777,750.0,750.0,750.0
17979.79797979798,750.0,750.0,750.0
